Curriculum,"Curriculum",,,,,,,,,
Degree Plan,"Oklahoma State University.csv",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"ENGL 1113","","",,,,3,"","",1
2,"CHEM 1315","","",,,,5,"","",1
3,"HIST 1483","","",,,,3,"","",1
4,"MATH 1914","","",,,,4,"","",1
5,"ENGR 1411","","",,,,1,"","",1
6,"ENGL 1213","","","1",,,3,"","",2
7,"MATH 2924","","","4",,,4,"","",2
8,"PSC 1113","","",,,,3,"","",2
9,"PHYS 2514","","","4",,,4,"","",2
10,"CS 1313","","",,,,3,"","",2
11,"MATH 2934","","","7",,,4,"","",3
12,"PHYS 2524","","","7;9",,,4,"","",3
13,"ECE 2214","","","4",,,4,"","",3
14,"ENGR 2002","","",,,,2,"","",3
15,"Elective","","",,,,3,"","",3
16,"MATH 3113","","","7",,,3,"","",4
17,"ECE 2713","","","7;10;5",,,3,"","",4
18,"ECE 2723","","","7;12","17",,3,"","",4
19,"ISE 3293","","","7",,,3,"","",4
20,"Elective","","",,,,3,"","",4
21,"PHYS 3223","","","16",,,3,"","",5
22,"ECE 3613","","","16;11;18",,,3,"","",5
23,"ECE 3723","","","18;16;17","24",,3,"","",5
24,"ECE 3773","","",,,,3,"","",5
25,"ECE 3813","","","2;17;11;18",,,3,"","",5
26,"MATH 3333","","","11",,,3,"","",6
27,"ECE 3113","","","22;18",,,3,"","",6
28,"ECE 3223","","","24",,,3,"","",6
29,"ECE 3793","","","16;18","26",,3,"","",6
30,"ECE 3873","","","23;14;24",,,3,"","",6
31,"ECE 3323","","","22",,,3,"","",7
32,"ECE 4273","","","28;30",,,3,"","",7
33,"ECE 4000+ Elective","","",,,,3,"","",7
34,"ECE 4000+ Elective","","",,,,3,"","",7
35,"Elective","","",,,,3,"","",7
36,"ECE 4773","","","32",,,3,"","",8
37,"ECE Elective","","",,,,3,"","",8
38,"ECE 4000+ Elective","","",,,,3,"","",8
39,"Professional Elective","","",,,,3,"","",8
40,"Elective","","",,,,3,"","",8