Curriculum,"Cornell University EE Program",,,,,,,,,
Degree Plan,"Cornell University EE Program 4-year Plan",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
3732084628,"Engineering Gen. Chemistry","CHEM ","2090",,,,3,"","",1
4274504294,"Calculus for Engineers","MATH","1910",,,,3,"","",1
3683554939,"Engineering Distribution 1","ENGRI","1xxx",,,,3,"","",1
239686930,"1st Yr Writing Seminar 1","","",,,,3,"","",1
1523633189,"PE 1","","",,,,3,"","",1
177051436,"Physics I: Mechanics & Heat","PHYS","1112","4274504294",,,3,"","",2
2644941087,"Multivariable Calc. for Engineers","MATH","1920","4274504294",,,3,"","",2
4226399557,"Intro. to Computing","CS","111x",,,,3,"","",2
4073672988,"1st Yr Writing Seminar 2","","",,,,3,"","",2
335346848,"PE 2","","",,,,3,"","",2
670953379,"Physics II: Electromagnetism","PHYS","2213","177051436;2644941087",,,3,"","",3
1926321183,"Diff. Eqs. for Engineers","MATH","2930","2644941087",,,3,"","",3
3693590979,"Intro. to Circuits","ECE/ENGRD","2100",,"1926321183;670953379",,3,"","",3
986524819,"Digital Logic & Computer Org.","ECE/ENGRD","2300","4226399557",,,3,"","",3
1558052753,"Liberal Studies 1","","",,,,3,"","",3
3377751592,"Physics III: Oscillations, Waves, and Quantum Physics","PHYS","2214",,"1926321183",,3,"","",4
1135328629,"Linear Algebra for Engineers","MATH","2940","2644941087",,,3,"","",4
1098106156,"Engineering Distribution 2","ENGRD","2xxx","670953379",,,3,"","",4
2066269668,"Signals and Information","ECE/ENGRD","2200/2220","1926321183","1135328629",,3,"","",4
2054345146,"Liberal Studies 2","","",,,,3,"","",4
743914989,"ECE Foundations 1","","",,,,3,"","",5
2064696548,"Elective 1","","",,,,3,"","",5
329854095,"Outside Tech. Elective 1","","","4226399557",,,3,"","",5
1413999863,"Intelligent Physical Systems","ECE","3400","3693590979;986524819;2066269668",,,3,"","",5
1637204683,"Liberal Studies 3","","",,,,3,"","",5
121333895,"ECE Foundations 2","","",,,,3,"","",6
1218469900,"ECE Foundations 3","","",,,,3,"","",6
329854096,"Outside Tech. Elective 2","","",,,,3,"","",6
266560209,"Elective 2","","",,,,3,"","",6
1720176282,"Liberal Studies 4","","",,,,3,"","",6
3224403962,"ECE Elective (CDE)","","",,,,3,"","",7
2051928090,"ECE Elective 1","","",,,,3,"","",7
329854097,"Outside Tech. Elective 3","","",,,,3,"","",7
3411438757,"Liberal Studies 5","","",,,,3,"","",7
672829327,"ECE Elective 2","","",,,,3,"","",8
562628024,"ECE Elective 3","","",,,,3,"","",8
3443198019,"ECE Elective 4","","",,,,3,"","",8
2066864807,"Liberal Studies 6","","",,,,3,"","",8