Curriculum,"University of Houston EE Program",,,,,,,,,
Degree Plan,"University of Houston EE Program 4-year Plan",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
3824069494,"The US to 1877","HIST","1377",,,,3,"","",1
1324171406,"First Year Writing I","ENGL","1303",,,,3,"","",1
1764441140,"Intro to Engr.","ENGI","1100",,"4175014649",,1,"","",1
4175014649,"Calculus I","MATH","1431",,,,4,"","",1
1351802580,"Fund. of Chemistry","CHEM","1331",,,,3,"","",1
2195546016,"Fund. of Chemistry Lab","CHEM","1111",,"1351802580",,1,"","",1
2731496025,"US Since 1877","HIST","1378",,,,3,"","",2
3195103903,"First Year Writing II","ENGL","1304","1324171406",,,3,"","",2
1051497550,"Computing & Prob. Solving","ENGI","1331","1764441140;4175014649",,,3,"","",2
1177372781,"Calculus II","MATH","1432","4175014649",,,4,"","",2
2834873484,"University Physics I","PHYS","1321",,"1177372781",,3,"","",2
3178954113,"Physics Lab I","PHYS","1121",,"2834873484",,1,"","",2
1541543378,"US and TX Constitutions & Politics","POLS","1336",,,,3,"","",3
947037850,"Engineering Math","MATH","3321","1177372781",,,3,"","",3
2138760932,"Circuit Analysis I","ECE","2201","1051497550","3059602497;3718777895;2258215799;947037850",,3,"","",3
2258215799,"Calculus III","MATH","2433","1177372781",,,3,"","",3
3718777895,"University Physics II","PHYS","1322","2834873484","2258215799",,3,"","",3
3059602497,"Physics Lab II","PHYS","1122",,"3718777895",,1,"","",3
1770099342,"Technical Communication","ENGI","2304","3195103903;2138760932",,,3,"","",4
649106202,"Programming Apps in ECE","ECE","3331","947037850;2138760932",,,3,"","",4
1083857781,"Circuits Lab","ECE","2100","3059602497","3887805990",,1,"","",4
3887805990,"Circuit Analysis II","ECE","2202","2138760932",,,3,"","",4
2791403937,"Signals & Systems Analysis","ECE","3337",,"3887805990",,3,"","",4
4184346648,"Microprocessors","ECE","3436",,"1083857781;649106202",,3,"","",4
848294223,"Creative Arts Core","","",,,,3,"","",5
1966522372,"Electronics Lab","ECE","3155","1770099342;1083857781",,,1,"","",5
4165958389,"Electronics","ECE","3355","2791403937",,"1966522372",3,"","",5
1056053313,"Concentration Elective 1","","",,,,3,"","",5
2252871414,"Applied EM Waves","ECE","3317","2791403937",,,3,"","",5
2051928090,"ECE Elective 1","","",,,,3,"","",5
951874139,"US Gov: Congress, President and Courts","POLS","1337",,,,3,"","",6
2888554139,"Engineering Statistics","INDE","2333","1051497550;1177372781",,,3,"","",6
26700799,"Elective Lab 1","","",,,,1,"","",6
1745860227,"Concentration Elective 2","","",,,,3,"","",6
3368026167,"Numerical Methods","ECE","3340","649106202",,,3,"","",6
672829327,"ECE Elective 2","","",,,,3,"","",6
3224555476,"Microeconomic Principles","ECON","2304",,,,3,"","",7
1337097032,"ECE Design I","ECE","4335","4184346648;2888554139;1966522372;4165958389;2252871414;3368026167","3224555476",,3,"","",7
1296179090,"Elective Lab 2","","",,,,1,"","",7
1105094343,"Concentration Elective 3","","",,,,3,"","",7
1819261218,"Concentration Elective 4","","",,,,3,"","",7
2529896330,"Technical Elective","","",,,,3,"","",7
1626752824,"Lang., Phil. & Culture Core","","",,,,3,"","",8
1158404973,"ECE Design II","ECE","4336","1337097032",,,3,"","",8
3091492697,"Elective Lab 3","","",,,,1,"","",8
2070124031,"Concentration Elective 5","","",,,,3,"","",8
1716266479,"Concentration Elective 6","","",,,,3,"","",8
2584207151,"Concentration Elective 7","","",,,,3,"","",8
2450156574,"Elective Lab 4","","",,,,1,"","",8