Curriculum,EE Program,,,,,,,,,
Degree Plan,Curricular Pattern-Algebra Ready ,,,,,,,,,
Institution,Wright State University ,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Calculus I,,,8,,,4,,,4
2,Calculus II,,,1,,,4,,,5
3,Physics I,,,1,,,4,,,5
4,Programming I,,,1,,,3,,,5
5,Calculus III,,,2,,,4,,,6
6,Differential Eqs.,,,2,,,3,,,6
7,Circuits I,,,"3;4;6",,,3,,,7
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
8,Precalculus,,,9,,,3,,,3
9,College Algebra,,,10,,,3,,,2
10,Foundational Math,,,,,,3,,,1